insider_name,relationship_to_issuer,shares_bought,trade_date,transaction_type,shares,price_per_share,shares_owned_after_transaction,total_value,avg_book_price
WEEKS WENDELL P,Director,1900.0,02/15/2025,M,1900.0,0.0,44400.0,0.0,0.0
Herrington Douglas J,CEO Worldwide Amazon Stores,-599.0,02/12/2025,S,599.0,228.7398,523968.0,137015.1402,0.26149524436606814
Herrington Douglas J,CEO Worldwide Amazon Stores,-26501.0,02/12/2025,S,26501.0,230.2962,497467.0,6103079.5962,12.268310453155685
Herrington Douglas J,CEO Worldwide Amazon Stores,-400.0,02/12/2025,S,400.0,230.6825,497067.0,92273.0,0.1856349345259291
Herrington Douglas J,CEO Worldwide Amazon Stores,0.0,,,0.0,0.0,6582.996,0.0,0.0
RUBINSTEIN JONATHAN,Director,-4351.0,12/09/2024,S,4351.0,229.85,88203.0,1000077.35,11.338359806355793
RUBINSTEIN JONATHAN,Director,-4549.0,12/04/2024,S,4549.0,219.85,92554.0,1000097.65,10.805558376731422
Herrington Douglas J,CEO Worldwide Amazon Stores,-3500.0,12/02/2024,S,3500.0,210.0,524567.0,735000.0,1.4011556197778359
Herrington Douglas J,CEO Worldwide Amazon Stores,0.0,,,0.0,0.0,6581.715,0.0,0.0
Jassy Andrew R,"Director, President and CEO",20000.0,11/21/2024,M,20000.0,0.0,2076534.0,0.0,0.0
Jassy Andrew R,"Director, President and CEO",31960.0,11/21/2024,M,31960.0,0.0,2108494.0,0.0,0.0
Jassy Andrew R,"Director, President and CEO",-622.0,11/21/2024,S,622.0,196.455,2107872.0,122195.01000000001,0.057970792344127164
Jassy Andrew R,"Director, President and CEO",-1127.0,11/21/2024,S,1127.0,197.4142,2106745.0,222485.8034,0.10560642289408542
Jassy Andrew R,"Director, President and CEO",-3352.0,11/21/2024,S,3352.0,198.4933,2103393.0,665349.5416,0.3163220290264349
Jassy Andrew R,"Director, President and CEO",-1182.0,11/21/2024,S,1182.0,199.7573,2102211.0,236113.1286,0.11231656984003985
Jassy Andrew R,"Director, President and CEO",-9252.0,11/21/2024,S,9252.0,200.6198,2092959.0,1856134.3895999999,0.8868469901225967
Jassy Andrew R,"Director, President and CEO",-4149.0,11/21/2024,S,4149.0,201.2717,2088810.0,835076.2833,0.3997856594424577
Jassy Andrew R,"Director, President and CEO",-1100.0,11/21/2024,S,1100.0,202.7445,2087710.0,223018.94999999998,0.10682467871495561
Jassy Andrew R,"Director, President and CEO",0.0,,,0.0,0.0,65500.0,0.0,0.0
Jassy Andrew R,"Director, President and CEO",0.0,,,0.0,0.0,9900.358,0.0,0.0
Herrington Douglas J,CEO Worldwide Amazon Stores,12660.0,11/21/2024,M,12660.0,0.0,531571.0,0.0,0.0
Herrington Douglas J,CEO Worldwide Amazon Stores,2600.0,11/21/2024,M,2600.0,0.0,534171.0,0.0,0.0
Herrington Douglas J,CEO Worldwide Amazon Stores,-1511.0,11/21/2024,S,1511.0,198.687,532660.0,300216.05700000003,0.5636166729245673
Herrington Douglas J,CEO Worldwide Amazon Stores,-890.0,11/21/2024,S,890.0,199.8397,531770.0,177857.33299999998,0.33446289373225263
Herrington Douglas J,CEO Worldwide Amazon Stores,-3077.0,11/21/2024,S,3077.0,200.7201,528693.0,617615.7477,1.1681935408639796
Herrington Douglas J,CEO Worldwide Amazon Stores,-526.0,11/21/2024,S,526.0,201.5578,528167.0,106019.4028,0.20073083475491652
Herrington Douglas J,CEO Worldwide Amazon Stores,-100.0,11/21/2024,S,100.0,202.8,528067.0,20280.0,0.03840421764662438
Herrington Douglas J,CEO Worldwide Amazon Stores,0.0,,,0.0,0.0,6581.715,0.0,0.0
Olsavsky Brian T,Senior Vice President and CFO,11360.0,11/21/2024,M,11360.0,0.0,60360.0,0.0,0.0
Olsavsky Brian T,Senior Vice President and CFO,3240.0,11/21/2024,M,3240.0,0.0,63600.0,0.0,0.0
Olsavsky Brian T,Senior Vice President and CFO,-14600.0,11/21/2024,S,14600.0,202.88,49000.0,2962048.0,60.44995918367347
Olsavsky Brian T,Senior Vice President and CFO,0.0,,,0.0,0.0,1561.501,0.0,0.0
Zapolsky David,Senior Vice President,11360.0,11/21/2024,M,11360.0,0.0,68830.0,0.0,0.0
Zapolsky David,Senior Vice President,3240.0,11/21/2024,M,3240.0,0.0,72070.0,0.0,0.0
Zapolsky David,Senior Vice President,-121.0,11/21/2024,S,121.0,196.4583,71949.0,23771.4543,0.33039311595713633
Zapolsky David,Senior Vice President,-945.0,11/21/2024,S,945.0,197.5193,71004.0,186655.73849999998,2.628805961635964
Zapolsky David,Senior Vice President,-1716.0,11/21/2024,S,1716.0,198.5841,69288.0,340770.31560000003,4.918172202978871
Zapolsky David,Senior Vice President,-727.0,11/21/2024,S,727.0,199.7196,68561.0,145196.1492,2.1177659194002425
Zapolsky David,Senior Vice President,-5075.0,11/21/2024,S,5075.0,200.6163,63486.0,1018127.7225,16.03704316699745
Zapolsky David,Senior Vice President,-2346.0,11/21/2024,S,2346.0,201.2371,61140.0,472102.2366,7.72165908734053
Zapolsky David,Senior Vice President,-550.0,11/21/2024,S,550.0,202.5915,60590.0,111425.325,1.8390051988777025
Zapolsky David,Senior Vice President,-200.0,11/21/2024,S,200.0,203.06,60390.0,40612.0,0.672495446265938
Reynolds Shelley,Vice President,2360.0,11/21/2024,M,2360.0,0.0,123821.0,0.0,0.0
Reynolds Shelley,Vice President,340.0,11/21/2024,M,340.0,0.0,124161.0,0.0,0.0
Reynolds Shelley,Vice President,2772.0,11/21/2024,M,2772.0,0.0,126933.0,0.0,0.0
Reynolds Shelley,Vice President,-664.0,11/21/2024,S,664.0,198.7358,126269.0,131960.5712,1.0450749685195893
Reynolds Shelley,Vice President,-268.0,11/21/2024,S,268.0,198.7358,126001.0,53261.1944,0.4227045372655773
Reynolds Shelley,Vice President,-855.0,11/21/2024,S,855.0,200.2,125146.0,171171.0,1.3677704441212664
Reynolds Shelley,Vice President,-345.0,11/21/2024,S,345.0,200.2,124801.0,69069.0,0.5534330654401808
Reynolds Shelley,Vice President,-1039.0,11/21/2024,S,1039.0,200.9242,123762.0,208760.24380000003,1.6867878977392092
Reynolds Shelley,Vice President,-420.0,11/21/2024,S,420.0,200.9242,123342.0,84388.164,0.6841802792236221
Reynolds Shelley,Vice President,-142.0,11/21/2024,S,142.0,202.4,123200.0,28740.8,0.2332857142857143
Reynolds Shelley,Vice President,-58.0,11/21/2024,S,58.0,202.4,123142.0,11739.2,0.09533059394844977
Reynolds Shelley,Vice President,0.0,,,0.0,0.0,2655.72,0.0,0.0
Garman Matthew S,CEO Amazon Web Services,-184.0,11/21/2024,S,184.0,196.3064,15076.0,36120.3776,2.3958860175112764
Garman Matthew S,CEO Amazon Web Services,-1181.0,11/21/2024,S,1181.0,197.528,13895.0,233280.568,16.788813817920115
Garman Matthew S,CEO Amazon Web Services,-2389.0,11/21/2024,S,2389.0,198.5981,11506.0,474450.86089999997,41.235082643838
Garman Matthew S,CEO Amazon Web Services,-3759.0,11/21/2024,S,3759.0,200.2409,7747.0,752705.5431,97.16090655737705
Garman Matthew S,CEO Amazon Web Services,-6471.0,11/21/2024,S,6471.0,200.9776,1276.0,1300526.0496,1019.2210420062696
Garman Matthew S,CEO Amazon Web Services,-972.0,11/21/2024,S,972.0,201.7213,304.0,196073.1036,644.9773144736843
Garman Matthew S,CEO Amazon Web Services,-304.0,11/21/2024,S,304.0,202.8684,0.0,61671.9936,0.0
Garman Matthew S,CEO Amazon Web Services,0.0,,,0.0,0.0,349261.0,0.0,0.0
