insider_name,relationship_to_issuer,shares_bought,trade_date,transaction_type,shares,price_per_share,shares_owned_after_transaction,total_value,avg_book_price
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-1424.0,01/25/2025,F,1424.0,201.9,2764.0,287505.60000000003,104.01794500723591
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,8940.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,24376.0,0.0,0.0
Pichai Sundar,"Director, Chief Executive Officer",1343392.0,01/23/2025,A,1343392.0,0.0,3387756.0,0.0,0.0
Pichai Sundar,"Director, Chief Executive Officer",-674712.0,01/23/2025,F,674712.0,200.03,2713044.0,134962641.36,49.74583580657004
Pichai Sundar,"Director, Chief Executive Officer",0.0,,,0.0,0.0,227560.0,0.0,0.0
Pichai Sundar,"Director, Chief Executive Officer",0.0,,,0.0,0.0,298533.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-2834.0,01/15/2025,S,2834.0,194.32,17847.0,550702.88,30.856887992379672
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,8940.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,5529.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,24376.0,0.0,0.0
HENNESSY JOHN L,Director,-104.0,01/13/2025,S,104.0,187.903,21824.0,19541.912,0.8954321847507332
HENNESSY JOHN L,Director,-674.0,01/13/2025,S,674.0,189.4407,22650.0,127683.0318,5.637219947019868
HENNESSY JOHN L,Director,-722.0,01/13/2025,S,722.0,190.3985,21928.0,137467.717,6.269049480116746
HENNESSY JOHN L,Director,0.0,,,0.0,0.0,1596.166,0.0,0.0
HENNESSY JOHN L,Director,0.0,,,0.0,0.0,6093.0,0.0,0.0
HENNESSY JOHN L,Director,0.0,,,0.0,0.0,502.0,0.0,0.0
HENNESSY JOHN L,Director,0.0,,,0.0,0.0,1686.0,0.0,0.0
HENNESSY JOHN L,Director,0.0,,,0.0,0.0,2546.0,0.0,0.0
HENNESSY JOHN L,Director,0.0,,,0.0,0.0,2447.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",81844.0,01/09/2025,A,81844.0,0.0,725000.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",-40420.0,01/09/2025,F,40420.0,195.39,684580.0,7897663.8,11.536509684770223
Schindler Philipp,"SVP, Chief Business Officer",0.0,,,0.0,0.0,72334.0,0.0,0.0
Schindler Philipp,"SVP, Chief Business Officer",0.0,,,0.0,0.0,96928.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",34108.0,01/09/2025,A,34108.0,0.0,57608.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-16418.0,01/09/2025,F,16418.0,195.39,41191.0,3207913.0199999996,77.87897890315844
WALKER JOHN KENT,"President, Global Affairs, CLO",0.0,,,0.0,0.0,60801.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",0.0,,,0.0,0.0,56609.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",0.0,,,0.0,0.0,75858.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",34108.0,01/09/2025,A,34108.0,0.0,1483393.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",-16418.0,01/09/2025,F,16418.0,195.39,1466975.0,3207913.0199999996,2.186753707459227
Porat Ruth,"President, Chief Invs. Officer",0.0,,,0.0,0.0,56609.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,,,0.0,0.0,75858.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,,,0.0,0.0,120000.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,,,0.0,0.0,200000.0,0.0,0.0
Porat Ruth,"President, Chief Invs. Officer",0.0,,,0.0,0.0,175000.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",-1368.0,01/02/2025,S,1368.0,191.55,20681.0,262040.40000000002,12.67058652869784
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,8940.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,5529.0,0.0,0.0
O'Toole Amie Thuener,"VP, Chief Accounting Officer",0.0,,,0.0,0.0,24376.0,0.0,0.0
WALKER JOHN KENT,"President, Global Affairs, CLO",-2200.0,12/30/2024,S,2200.0,191.3218,58601.0,420907.95999999996,7.182607122745345
WALKER JOHN KENT,"President, Global Affairs, CLO",-4931.0,12/30/2024,S,4931.0,191.9943,53670.0,946723.8933,17.639722252655115
WALKER JOHN KENT,"President, Global Affairs, CLO",-9489.0,12/30/2024,S,9489.0,193.2285,44181.0,1833545.2364999999,41.50076359747403
