filing_date,filing_year,filing_quarter,institution_name,institution_cik,accession_number,ticker,form_type
2012-11-14,2012,Q4,Fidelity Management & Research,0000315066,0000315066-12-004159,NVDA,13F-HR
2012-11-13,2012,Q4,Vanguard Group Inc,0001364742,0001086364-12-003083,NVDA,13F-HR
2012-08-14,2012,Q3,Berkshire Hathaway Inc,0001067983,0001193125-12-355534,NVDA,13F-HR
2012-08-14,2012,Q3,State Street Corp,0001418814,0001418812-12-000062,NVDA,13F-HR
2012-08-14,2012,Q3,Fidelity Management & Research,0000315066,0000315066-12-003876,NVDA,13F-HR
2012-08-13,2012,Q3,Vanguard Group Inc,0001364742,0001086364-12-002829,NVDA,13F-HR
2012-05-15,2012,Q2,Fidelity Management & Research,0000315066,0000315066-12-003575,NVDA,13F-HR
2012-05-15,2012,Q2,Berkshire Hathaway Inc,0001067983,0001193125-12-234582,NVDA,13F-HR
2012-05-14,2012,Q2,State Street Corp,0001418814,0001418812-12-000031,NVDA,13F-HR
2012-05-11,2012,Q2,Vanguard Group Inc,0001364742,0001086364-12-002435,NVDA,13F-HR
2012-02-14,2012,Q1,Vanguard Group Inc,0001364742,0001086364-12-002181,NVDA,13F-HR
2012-02-14,2012,Q1,State Street Corp,0001418814,0001418812-12-000008,NVDA,13F-HR
2012-02-14,2012,Q1,Fidelity Management & Research,0000315066,0000315066-12-003205,NVDA,13F-HR
2012-02-14,2012,Q1,Berkshire Hathaway Inc,0001067983,0001193125-12-060928,NVDA,13F-HR
2011-11-14,2011,Q4,Berkshire Hathaway Inc,0001067983,0001193125-11-310972,NVDA,13F-HR
2011-11-14,2011,Q4,State Street Corp,0001418814,0001418812-11-000091,NVDA,13F-HR
2011-11-14,2011,Q4,Fidelity Management & Research,0000315066,0000315066-11-004295,NVDA,13F-HR
2011-11-03,2011,Q4,Vanguard Group Inc,0001364742,0001086364-11-006175,NVDA,13F-HR
2011-08-15,2011,Q3,Berkshire Hathaway Inc,0001067983,0001193125-11-223118,NVDA,13F-HR
